Part,Skill,Difficulty,Question,Answer,Use
1,Place value,1,"Write 6.304 in expanded form.","6 + 0.3 + 0.004","Warm-up"
1,Decimal comparison,1,"Compare 7.08 and 7.8 using <, >, or =.","7.08 < 7.8","Warm-up"
1,Decimal rounding,1,"Round 14.768 to the nearest hundredth.","14.77","Exit ticket"
1,Decimal addition,2,"Compute 18.45 + 7.086.","25.536","Practice"
1,Decimal subtraction,2,"Compute 40 - 16.275.","23.725","Practice"
1,Decimal reasoning,3,"Explain why 5.6 is greater than 5.49.","5.6 = 5.60 and 5.60 > 5.49","Discussion"
1,Multi-step decimals,3,"A runner jogs 2.75 miles Monday and 3.6 miles Tuesday. How many more miles are needed to reach 10 miles?","3.65 miles","Assessment"
1,Error analysis,3,"A student says 3.4 + 2.08 = 5.12. Find the error.","Correct sum is 5.48; hundredths/tenths were not aligned","Reteach"
1,Estimation,2,"Estimate 29.8 - 11.43, then calculate exactly.","About 18; exact 18.37","Practice"
1,Application,3,"Three items cost $4.89, $12.50, and $6.07. What is the total cost?","$23.46","Assessment"
2,Equivalent fractions,1,"Write a fraction equivalent to 9/12.","3/4","Warm-up"
2,Common denominators,1,"Find a common denominator for 2/5 and 3/4.","20","Warm-up"
2,Fraction addition,2,"Compute 5/6 + 1/3.","7/6 or 1 1/6","Practice"
2,Fraction subtraction,2,"Compute 7/8 - 1/4.","5/8","Practice"
2,Mixed numbers,2,"Compute 3 1/2 + 2 3/4.","6 1/4","Assessment"
2,Fraction word problem,3,"A ribbon is 5/6 meter. You use 1/4 meter. How much remains?","7/12 meter","Assessment"
2,Modeling fractions,2,"Draw or describe a model for 2/3 + 1/6.","5/6","Practice"
2,Error analysis,3,"A student says 1/2 + 1/3 = 2/5. Find the error.","Need common denominators; correct answer is 5/6","Reteach"
2,Fraction comparison,2,"Which is greater, 5/8 or 3/5?","5/8","Warm-up"
2,Fraction reasoning,3,"Explain why 6/10 and 3/5 are equivalent.","Both simplify to 3/5 or both represent the same point","Discussion"
3,Ratios,1,"Write the ratio of 8 red tiles to 12 blue tiles in simplest form.","2:3","Warm-up"
3,Equivalent ratios,1,"Write two ratios equivalent to 5:7.","Examples: 10:14 and 15:21","Practice"
3,Unit rate,2,"A bike travels 36 miles in 3 hours. What is the unit rate?","12 miles per hour","Practice"
3,Unit price,2,"Which is cheaper per pencil: 6 for $2.40 or 10 for $3.50?","10 for $3.50 at $0.35 each","Assessment"
3,Percent of number,2,"Find 30% of 80.","24","Practice"
3,Percent discount,3,"A $48 jacket is 25% off. What is the sale price?","$36","Assessment"
3,Ratio table,2,"Complete: 4 tickets cost $30, 8 tickets cost __, 12 tickets cost __.","$60; $90","Practice"
3,Double number line,2,"On a number line, 5 cups match 20 servings. How many servings match 8 cups?","32 servings","Practice"
3,Error analysis,3,"A student says 10% of 90 is 0.9. Find the error.","10% is 0.10, and 0.10 x 90 = 9","Reteach"
3,Reasoning,3,"Explain how 50% and 25% can help find 75% of a number.","75% = 50% + 25%","Discussion"
4,Expressions,1,"Evaluate 3x + 8 when x = 5.","23","Warm-up"
